variant,model,n,hospitals,events,prevalence,status,auroc,auprc,brier,calibration_intercept,calibration_slope,mean_predicted_risk
primary_traceable,corrected_primary_source_raw,2104,37,734,0.3488593155893536,estimated,0.5039718371487103,0.34099614577249243,0.5205244092287068,-0.7915931849021928,0.0465078318252294,0.8262946455518408
primary_traceable,corrected_primary_source_intercept_recalibrated,2104,37,734,0.3488593155893536,estimated,0.5039718371487103,0.3409961457724925,0.3943792598104712,-0.6251493536890372,0.04631167184706003,0.590467544372502
primary_traceable,corrected_primary_source_logistic_recalibrated,2104,37,734,0.3488593155893536,estimated,0.4960281628512897,0.33603237147927767,0.22751253067826707,-4.327133349507797,-5.6747102778682414,0.34253646057665094
primary_traceable,corrected_strict_source_raw,2104,37,734,0.3488593155893536,estimated,0.5041090713816901,0.34070595595184044,0.5204650242869222,-0.7946795324726651,0.04753319891034406,0.8273023452013536
primary_traceable,corrected_strict_source_intercept_recalibrated,2104,37,734,0.3488593155893536,estimated,0.5041090713816901,0.3407059559518404,0.3930366436725561,-0.6250876113066747,0.04734728074326623,0.5900608967052373
primary_traceable,corrected_strict_source_logistic_recalibrated,2104,37,734,0.3488593155893536,estimated,0.4958909286183098,0.3359604994726276,0.22748083360766153,-4.746544189179743,-6.331965704598658,0.34286270065957763
primary_traceable,target_native_refit,2104,37,734,0.3488593155893536,estimated,0.6324300403747092,0.4725976799383783,0.21556696007712212,-0.12147045012605133,0.8349359901582046,0.35550071718178106
primary_traceable,target_native__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.6116818154696791,0.46399281138064563,0.21934215883861968,-0.12267512431552999,0.9855131258851455,0.37458581180554895
primary_traceable,target_native__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.6293412756816962,0.4791114449573424,0.21594578874149586,-0.1469664634598125,0.866414080283694,0.36609235936074136
primary_traceable,source_trained__corrected_primary__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.4648083692993098,0.3244941538376069,0.2411856861398442,-0.6420658044970687,-0.030730963525198454,0.3750274652252094
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.5059120109787387,0.36639934028789073,0.2373283827353626,-0.5698045152827346,0.07628817747606342,0.34765478976225767
primary_traceable,source_trained__corrected_strict__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.4672815688458402,0.32629459762521573,0.24099617523223202,-0.6379834905565518,-0.024282052988378617,0.37766980560095126
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.5072246862507209,0.3671595144143049,0.2368778521702265,-0.5643404915987179,0.0868072104648065,0.35188329045615807
