variant,model,n,hospitals,events,prevalence,status,auroc,auprc,brier,calibration_intercept,calibration_slope,mean_predicted_risk
primary_traceable,corrected_primary_source_raw,2104,37,734,0.3488593155893536,estimated,0.5039718371487103,0.34099614577249243,0.5205244092287068,-0.7915931849021928,0.0465078318252294,0.8262946455518408
primary_traceable,corrected_primary_source_intercept_recalibrated,2104,37,734,0.3488593155893536,estimated,0.5039718371487103,0.3409961457724925,0.3943792598104712,-0.6251493536890372,0.04631167184706003,0.590467544372502
primary_traceable,corrected_primary_source_logistic_recalibrated,2104,37,734,0.3488593155893536,estimated,0.4960281628512897,0.33603237147927767,0.22751253067826707,-4.327133349507797,-5.6747102778682414,0.34253646057665094
primary_traceable,corrected_strict_source_raw,2104,37,734,0.3488593155893536,estimated,0.5041090713816901,0.34070595595184044,0.5204650242869222,-0.7946795324726651,0.04753319891034406,0.8273023452013536
primary_traceable,corrected_strict_source_intercept_recalibrated,2104,37,734,0.3488593155893536,estimated,0.5041090713816901,0.3407059559518404,0.3930366436725561,-0.6250876113066747,0.04734728074326623,0.5900608967052373
primary_traceable,corrected_strict_source_logistic_recalibrated,2104,37,734,0.3488593155893536,estimated,0.4958909286183098,0.3359604994726276,0.22748083360766153,-4.746544189179743,-6.331965704598658,0.34286270065957763
primary_traceable,target_native_refit,2104,37,734,0.3488593155893536,estimated,0.6324300403747092,0.4725976799383783,0.21556696007712212,-0.12147045012605133,0.8349359901582046,0.35550071718178106
primary_traceable,target_native__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.6116818154696791,0.46399281138064563,0.21934215883861968,-0.12267512431552999,0.9855131258851455,0.37458581180554895
primary_traceable,target_native__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.6293412756816962,0.4791114449573424,0.21594578874149586,-0.1469664634598125,0.866414080283694,0.36609235936074136
primary_traceable,source_trained__corrected_primary__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.4648083692993098,0.3244941538376069,0.2411856861398442,-0.6420658044970687,-0.030730963525198454,0.3750274652252094
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.5059120109787387,0.36639934028789073,0.2373283827353626,-0.5698045152827346,0.07628817747606342,0.34765478976225767
primary_traceable,source_trained__corrected_strict__harmonized_last_values,2104,37,734,0.3488593155893536,estimated,0.4672815688458402,0.32629459762521573,0.24099617523223202,-0.6379834905565518,-0.024282052988378617,0.37766980560095126
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,2104,37,734,0.3488593155893536,estimated,0.5072246862507209,0.3671595144143049,0.2368778521702265,-0.5643404915987179,0.0868072104648065,0.35188329045615807
freshness_180,corrected_primary_source_raw,1236,22,479,0.38754045307443363,estimated,0.4991381759113962,0.37607706359270676,0.5132324154069382,-0.6532932523632996,0.05044178483005497,0.8576516581495309
freshness_180,corrected_primary_source_intercept_recalibrated,1236,22,479,0.38754045307443363,estimated,0.4991381759113962,0.37607706359270676,0.4020581927009708,-0.4810829258590108,0.050243355852180524,0.6482605956135872
freshness_180,corrected_primary_source_logistic_recalibrated,1236,22,479,0.38754045307443363,estimated,0.5008618240886038,0.3726385051297816,0.23987014534320186,-1.057601285714881,-1.1691639961506044,0.3752276214375046
freshness_180,corrected_strict_source_raw,1236,22,479,0.38754045307443363,estimated,0.500106176727716,0.3770093638264902,0.5130668969813397,-0.6587148556299323,0.05209270721095638,0.8582673251665305
freshness_180,corrected_strict_source_intercept_recalibrated,1236,22,479,0.38754045307443363,estimated,0.500106176727716,0.3770093638264902,0.40121009545822606,-0.48207046718367996,0.051917595772069426,0.6486505282772599
freshness_180,corrected_strict_source_logistic_recalibrated,1236,22,479,0.38754045307443363,estimated,0.49989382327228404,0.37210567922993815,0.23987050453920827,-1.077895782445919,-1.2101747500070847,0.3753731669699957
freshness_180,target_native_refit,1236,22,479,0.38754045307443363,estimated,0.6032327366293163,0.4700452069721564,0.23367812465538668,-0.25270114105122027,0.5474716322009182,0.4116524185348834
freshness_180,target_native__harmonized_last_values,1236,22,479,0.38754045307443363,estimated,0.5958996478242045,0.4812249198340523,0.23327397578570205,-0.2662698855145306,0.8047016431105212,0.4399880125976917
freshness_180,target_native__harmonized_dynamic_vitals,1236,22,479,0.38754045307443363,estimated,0.6097439899835357,0.484200336390777,0.23332012888053036,-0.28740621529327404,0.5902676359384162,0.4310805523041462
freshness_180,source_trained__corrected_primary__harmonized_last_values,1236,22,479,0.38754045307443363,estimated,0.501267226139883,0.38970142716430767,0.244286464479599,-0.3655434519063541,0.16124693103432017,0.37632591661597153
freshness_180,source_trained__corrected_primary__harmonized_dynamic_vitals,1236,22,479,0.38754045307443363,estimated,0.528481562480178,0.42310381508722916,0.24418938520417421,-0.30897108535214035,0.21768403846399859,0.35242065650398874
freshness_180,source_trained__corrected_strict__harmonized_last_values,1236,22,479,0.38754045307443363,estimated,0.5040305788975823,0.39259309140555243,0.24390456556025522,-0.3618228806064389,0.17158849449260247,0.3788295671995182
freshness_180,source_trained__corrected_strict__harmonized_dynamic_vitals,1236,22,479,0.38754045307443363,estimated,0.5293888908806601,0.4238728637367026,0.24351854143809656,-0.3048264410659484,0.2311325436828999,0.35629542706050066
gap_60,corrected_primary_source_raw,1839,37,482,0.26209896682979883,estimated,0.5065573620110263,0.25583849421313604,0.5799604902415343,-1.1741932923503504,0.03875026803853234,0.8198618551059125
