variant,model,reference,metric,estimate,ci_low,ci_high,valid_replicates
primary_traceable,corrected_strict_source_raw,corrected_primary_source_raw,auprc,-0.00029018982065198706,-0.0017104680298795638,0.0008715405860922965,1000
primary_traceable,corrected_strict_source_raw,corrected_primary_source_raw,brier,-5.938494178459042e-05,-0.0003035788947442608,0.00016244063063943908,1000
primary_traceable,corrected_strict_source_raw,corrected_primary_source_raw,calibration_intercept,-0.0030863475704723253,-0.007259030038658257,-0.0004907029551817183,1000
primary_traceable,corrected_strict_source_raw,corrected_primary_source_raw,calibration_slope,0.0010253670851146646,0.00024056269385581557,0.001969126019906521,1000
primary_traceable,corrected_strict_source_raw,corrected_primary_source_raw,mean_predicted_risk,0.00100769964951275,0.0004471256204110763,0.0020410366394767536,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,auroc,0.00013723423297984372,-0.0006472363158650962,0.0007493017835681957,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,auprc,-0.0002901898206520426,-0.0017104680298795638,0.0008715405860922965,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,brier,-0.1274877655561507,-0.15381850047309267,-0.08032347220443448,1000
primary_traceable,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,calibration_intercept,0.1665055735955181,-0.046368774648102865,0.3479718131835634,999
primary_traceable,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,calibration_slope,0.0008394489180368336,-0.0013089523759118329,0.0020495963198402163,999
primary_traceable,corrected_strict_source_intercept_recalibrated,corrected_primary_source_raw,mean_predicted_risk,-0.23623374884660353,-0.27551463674353227,-0.21529033931333477,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,auroc,-0.008080908530400499,-0.07583310466216968,0.07427756278081395,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,auprc,-0.005035646299864804,-0.05214922784697888,0.04908690683078192,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,brier,-0.29304357562104527,-0.3418697607955048,-0.22517641758662585,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,calibration_intercept,-3.95495100427755,-8.210094664976962,0.9938140088830436,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,calibration_slope,-6.378473536423887,-13.244979581063857,1.6077963326132845,1000
primary_traceable,corrected_strict_source_logistic_recalibrated,corrected_primary_source_raw,mean_predicted_risk,-0.4834319448922632,-0.5693140247972903,-0.32593410434540293,1000
primary_traceable,target_native_refit,corrected_primary_source_raw,auroc,0.12845820322599888,0.07854038840471374,0.16960073101552475,1000
primary_traceable,target_native_refit,corrected_primary_source_raw,auprc,0.13160153416588588,0.07138793608077283,0.1825468383739976,1000
primary_traceable,target_native_refit,corrected_primary_source_raw,brier,-0.3049574491515847,-0.35511564450218935,-0.2324726930862279,1000
primary_traceable,target_native_refit,corrected_primary_source_raw,calibration_intercept,0.6701227347761415,0.3878161371250241,0.9184184169707016,1000
primary_traceable,target_native_refit,corrected_primary_source_raw,calibration_slope,0.7884281583329752,0.5837310593109173,0.9319107423264098,1000
primary_traceable,target_native_refit,corrected_primary_source_raw,mean_predicted_risk,-0.4707939283700598,-0.5527078796508742,-0.3269286108699486,1000
primary_traceable,target_native__harmonized_last_values,corrected_primary_source_raw,auroc,0.10770997832096885,0.05829511418090365,0.16668205680782064,1000
primary_traceable,target_native__harmonized_last_values,corrected_primary_source_raw,auprc,0.1229966656081532,0.0717656278350071,0.1771866849291915,1000
primary_traceable,target_native__harmonized_last_values,corrected_primary_source_raw,brier,-0.3011822503900871,-0.35105866835129107,-0.23316245694098656,1000
primary_traceable,target_native__harmonized_last_values,corrected_primary_source_raw,calibration_intercept,0.6689180605866628,0.428866311548402,0.8869378305121631,1000
primary_traceable,target_native__harmonized_last_values,corrected_primary_source_raw,calibration_slope,0.9390052940599161,0.6649431989407821,1.3069951519446887,1000
primary_traceable,target_native__harmonized_last_values,corrected_primary_source_raw,mean_predicted_risk,-0.4517088337462919,-0.5360682584298271,-0.29666740666341124,1000
primary_traceable,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,auroc,0.12536943853298588,0.07778396821507719,0.16577398518913333,1000
primary_traceable,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,auprc,0.13811529918485,0.08449086493026937,0.18143649296807982,1000
primary_traceable,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,brier,-0.30457862048721096,-0.3538020585277295,-0.2324771312242888,1000
primary_traceable,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_intercept,0.6446267214423802,0.3820990285901358,0.8765406471777074,999
primary_traceable,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_slope,0.8199062484584646,0.6240447443808261,0.9855096120289267,999
primary_traceable,target_native__harmonized_dynamic_vitals,corrected_primary_source_raw,mean_predicted_risk,-0.4602022861910995,-0.5394894981967802,-0.31997725542248706,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,auroc,-0.0391634678494005,-0.0850467544670127,0.005030619429952876,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,auprc,-0.01650199193488555,-0.04812257577440254,0.014629229059996725,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,brier,-0.2793387230888626,-0.32555252873615953,-0.21035197034011668,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,calibration_intercept,0.14952738040512403,-0.17237979481647808,0.39281150111360036,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,calibration_slope,-0.07723879535042785,-0.3453246394729432,0.05480984138624868,1000
primary_traceable,source_trained__corrected_primary__harmonized_last_values,corrected_primary_source_raw,mean_predicted_risk,-0.45126718032663143,-0.5373525323190934,-0.2944077842978118,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,auroc,0.0019401738300284244,-0.038612125905700644,0.034467525626036354,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,auprc,0.025403194515398297,-0.009069135620927454,0.05214586737578057,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,brier,-0.2831960264933442,-0.330159908199074,-0.2122315826537939,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_intercept,0.2217886696194582,-0.12527907138012814,0.48825432789340695,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_slope,0.029780345650834025,-0.19537062346871437,0.15001487949382566,1000
primary_traceable,source_trained__corrected_primary__harmonized_dynamic_vitals,corrected_primary_source_raw,mean_predicted_risk,-0.4786398557895832,-0.5589195535966983,-0.3346944595176259,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,auroc,-0.03669026830287009,-0.08248157800296849,0.007258439283520953,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,auprc,-0.0147015481472767,-0.046968782426544134,0.016919177198576697,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,brier,-0.27952823399647475,-0.325846622521306,-0.21064663076646795,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,calibration_intercept,0.15360969434564098,-0.16439590873814905,0.39635334977506936,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,calibration_slope,-0.07078988481360801,-0.3365663644890731,0.05933026872366981,1000
primary_traceable,source_trained__corrected_strict__harmonized_last_values,corrected_primary_source_raw,mean_predicted_risk,-0.4486248399508896,-0.5346379871161515,-0.2916267902787983,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,auroc,0.0032528491020106243,-0.0368633442154168,0.03504620495961883,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,auprc,0.026163368641812457,-0.007434713088502914,0.05248778096537612,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,brier,-0.2836465570584803,-0.3306285338571865,-0.21272690364482713,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_intercept,0.22725269330347486,-0.1139822650063704,0.4941352876973191,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,calibration_slope,0.040299378639577096,-0.181202771575577,0.16185753452073165,1000
primary_traceable,source_trained__corrected_strict__harmonized_dynamic_vitals,corrected_primary_source_raw,mean_predicted_risk,-0.4744113550956828,-0.554683830694023,-0.3304875311633721,1000
