variant,model,metric,estimate,ci_low,ci_high,valid_replicates,attempted_replicates
gap_60,corrected_primary_source_raw,auroc,0.5065573620110263,0.46838698362783443,0.5364318323146136,1000,1000
gap_60,corrected_primary_source_raw,auprc,0.25583849421313604,0.20466013078058815,0.2967449767030784,1000,1000
gap_60,corrected_primary_source_raw,brier,0.5799604902415343,0.4824073124124364,0.6406823837829319,1000,1000
gap_60,corrected_primary_source_raw,calibration_intercept,-1.1741932923503504,-1.4130284566400484,-0.9275448484151884,1000,1000
gap_60,corrected_primary_source_raw,calibration_slope,0.03875026803853234,-0.017044378751324495,0.08440284755839157,1000,1000
gap_60,corrected_primary_source_raw,mean_predicted_risk,0.8198618551059125,0.66693653369196,0.9081138068724813,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,auroc,0.5065573620110263,0.46838698362783443,0.5364318323146136,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,auprc,0.25583849421313604,0.20466013078058812,0.2967449767030784,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,brier,0.33594004921448534,0.2883734296533687,0.3646520622726785,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,calibration_intercept,-1.0057909428784322,-1.289105667633577,-0.8289726230348865,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,calibration_slope,0.0384182062902625,-0.01975657775385649,0.08468097089923958,1000,1000
gap_60,corrected_primary_source_intercept_recalibrated,mean_predicted_risk,0.4872346661612839,0.3235690308950816,0.5852053425018179,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,auroc,0.49344263798897375,0.4635681676853866,0.5316130163721656,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,auprc,0.25336295509132334,0.21175675421645654,0.3002108640934495,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,brier,0.19418799992288951,0.1731941342800399,0.21008329516684157,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,calibration_intercept,-23.429196634805912,-49.80155754565464,8.657616499485819,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,calibration_slope,-24.9315477384429,-54.30018479319708,10.965363928895703,1000,1000
gap_60,corrected_primary_source_logistic_recalibrated,mean_predicted_risk,0.28944011696230043,0.2891670722636165,0.28990060001893125,1000,1000
gap_60,corrected_strict_source_raw,auroc,0.5072652329858701,0.4690582311087346,0.5370816418655673,1000,1000
gap_60,corrected_strict_source_raw,auprc,0.2559781282914914,0.20465175659153348,0.2966378626317364,1000,1000
gap_60,corrected_strict_source_raw,brier,0.5800267935036658,0.4826523063310005,0.6407181146341383,1000,1000
gap_60,corrected_strict_source_raw,calibration_intercept,-1.1773271573856945,-1.415436383944807,-0.9317128388225148,1000,1000
gap_60,corrected_strict_source_raw,calibration_slope,0.03976033911877561,-0.016614064949076326,0.08566683950648797,1000,1000
gap_60,corrected_strict_source_raw,mean_predicted_risk,0.8208776105855685,0.6689745190865948,0.9086801909771343,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,auroc,0.5072652329858701,0.4690582311087346,0.5370816418655673,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,auprc,0.25597812829149147,0.20465175659153348,0.2966378626317364,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,brier,0.3344192259259985,0.28778743397950346,0.36209368918082074,1000,1000
gap_60,corrected_strict_source_intercept_recalibrated,calibration_intercept,-1.0051856807081052,-1.288065667575051,-0.8285518635049238,999,1000
