artifact,variant,model,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,reference
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_intercept_recalibrated,auprc,0.3407059559518404,0.3405910882600007,-0.00011486769183971512,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_intercept_recalibrated,brier,0.3930366436725561,0.3935258328418326,0.0004891891692765382,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_intercept_recalibrated,calibration_intercept,-0.6250876113066747,-0.6251676434154637,-8.003210878904099e-05,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_intercept_recalibrated,calibration_slope,0.0473472807432662,0.0470604287878457,-0.00028685195542049735,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_intercept_recalibrated,mean_predicted_risk,0.5900608967052373,0.5904024540775301,0.00034155737229280003,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,n,2104.0,2104.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,hospitals,37.0,37.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,events,734.0,734.0,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,prevalence,0.3488593155893536,0.3488593155893536,0.0,1e-10,match,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,auroc,0.4958909286183098,0.495690049523658,-0.00020087909465177356,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,auprc,0.3359604994726276,0.3359249328061525,-3.556666647513973e-05,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,brier,0.2274808336076615,0.2274835163317166,2.6827240550975073e-06,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,calibration_intercept,-4.746544189179743,-4.703778570447802,0.0427656187319414,1e-10,DIFFERENCE,,
primary_traceable_performance.csv,primary_traceable,corrected_strict_source_logistic_recalibrated,calibration_slope,-6.331965704598658,-6.2649868134623325,0.06697889113632538,1e-10,DIFFERENCE,,
