artifact,analysis,model,outcome,field,reported_value,reproduced_value,difference,tolerance,judgement,metric,comparison,threshold
mimic_primary_temporal_results.csv,scope_corrected_primary,clinical_multinomial_logistic,restart_first,auroc,0.6570884146341464,0.6582401761517614,0.0011517615176150908,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,clinical_multinomial_logistic,restart_first,auprc,0.555926899364057,0.557523651345377,0.0015967519813199216,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,clinical_multinomial_logistic,restart_first,brier,0.2291280485846144,0.2289483820273184,-0.0001796665572960099,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,clinical_multinomial_logistic,restart_first,calibration_intercept,0.4658267773319998,0.4667929021477672,0.0009661248157674107,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,clinical_multinomial_logistic,restart_first,calibration_slope,0.9798715830487232,0.982948537557925,0.003076954509201757,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,clinical_multinomial_logistic,restart_first,multiclass_log_loss,0.7566052635279662,0.7564641027484417,-0.00014116077952452954,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,clinical_multinomial_logistic,restart_first,multiclass_brier,0.4917289273223342,0.4914841894538531,-0.00024473786848111523,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,training_n,8590.0,8590.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,training_subjects,7795.0,7795.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,test_n,689.0,689.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,test_subjects,652.0,652.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,test_events,138.0,138.0,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,prevalence,0.2002902757619738,0.2002902757619738,0.0,1e-10,match,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,auroc,0.970356926799758,0.9716720587074884,0.0013151319077303603,1e-10,DIFFERENCE,,,
mimic_primary_temporal_results.csv,scope_corrected_primary,dynamic_multiclass_hgb,death_first,auprc,0.9361503423258194,0.9342994224461496,-0.0018509198796697879,1e-10,DIFFERENCE,,,
