database,variable,variable_label,unit,window,comparison,first_group,second_group,first_group_n,second_group_n,first_observed_n,second_observed_n,standardized_difference
MIMIC-IV,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-1.2909080233956012
MIMIC-IV,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4336,0.16503243246716034
MIMIC-IV,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1475,4336,1.3205827731495563
MIMIC-IV,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-1.2807742748204718
MIMIC-IV,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,3468,4336,3468,4336,0.15305041689410878
MIMIC-IV,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,1475,4336,1475,4336,1.3155603509399623
MIMIC-IV,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,restart_first_minus_death_first,restart_first,death_first,3468,1475,3468,1475,-1.2161649379404742
eICU,age,Age,years,At admission/index record,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2457,4118,-0.017041359059229662
eICU,age,Age,years,At admission/index record,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,204,4118,0.38012553713863606
eICU,age,Age,years,At admission/index record,restart_first_minus_death_first,restart_first,death_first,2457,204,2457,204,-0.3945322226993293
eICU,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2457,4118,0.15322460094906143
eICU,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,204,4118,0.32391316315506596
eICU,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,2457,204,-0.139420768337642
eICU,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2457,4118,0.035389592516026205
eICU,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,204,4118,0.8685465932590806
eICU,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,restart_first_minus_death_first,restart_first,death_first,2457,204,2457,204,-0.840740858617864
eICU,map_last,Last MAP,mm Hg,Latest recorded value before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2446,4104,-0.22391309798926684
eICU,map_last,Last MAP,mm Hg,Latest recorded value before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,203,4104,-1.039023547545686
eICU,map_last,Last MAP,mm Hg,Latest recorded value before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,2446,203,0.8360798401163029
eICU,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2447,4104,0.045322721212892034
eICU,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,204,4104,0.2699579896490247
eICU,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,2447,204,-0.23015428393863588
eICU,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,1068,1755,-0.0308455317038015
eICU,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,83,1755,0.22546493677172832
eICU,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,1068,83,-0.3528265840192383
eICU,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,1068,1755,0.120888799830921
eICU,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,death_first_minus_no_recorded_event,death_first,no_recorded_event,204,4118,83,1755,0.8290747725393469
eICU,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,restart_first_minus_death_first,restart_first,death_first,2457,204,1068,83,-0.7628430913742918
eICU,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,restart_first_minus_no_recorded_event,restart_first,no_recorded_event,2457,4118,2420,4049,-0.22452110272427714
