measure,hospitals_with_value,minimum,q1,median,q3,maximum
n,37,1.0,4.0,26.0,58.0,429.0
events,37,0.0,2.0,7.0,16.0,179.0
event_rate,37,0.0,0.22580645161290322,0.32608695652173914,0.4444444444444444,1.0
source_mean_risk,37,0.12612940236536735,0.40224921698141186,0.670689422996255,0.9777012622809728,0.9950178970434891
target_mean_risk,37,0.16500242900495166,0.35307344475250474,0.3764387658562772,0.40548268488210865,0.598704494269495
source_auroc,29,0.0,0.368421052631579,0.4425,0.5277777777777778,0.9
target_auroc,29,0.0,0.5266272189349113,0.616940303969164,0.6666666666666667,0.8333333333333333
