model,n,events,event_rate,mean_predicted_risk,auroc,auprc,brier
source_only,2104,734,0.3488593155893536,0.8252167631637634,0.5045088406690665,0.3415080414040652,0.5196946009319205
target_native_full,2104,734,0.3488593155893536,0.3555048770313861,0.6324499293939815,0.4725743998520904,0.21557447182260656
target_native_last_values,2104,734,0.3488593155893536,0.37458581180554895,0.6116818154696791,0.46399281138064563,0.21934215883861968
target_native_dynamic_vitals,2104,734,0.3488593155893536,0.36604439811362693,0.6294655820521491,0.4790027564313084,0.21592150325420648
fixed_adaptation_prevalence,2104,734,0.3488593155893536,0.3779193205944798,0.5,0.3488593155893536,0.22800097740677935
