omitted_hospital_label,model,auroc,auprc,brier,event_rate,mean_predicted_risk
H-465A94,source_only,0.5043875978302207,0.34163298804849573,0.5203707049024725,0.3490701001430615,0.8264467541722407
H-465A94,target_native,0.6337366640645329,0.47372985782924215,0.21540316154036143,0.3490701001430615,0.355535856113955
H-75D65B,source_only,0.5037638111207594,0.34185398144788176,0.5194993190443754,0.3496903287279657,0.8256000756322852
H-75D65B,target_native,0.6326955514966415,0.4734700644968717,0.21575263586414395,0.3496903287279657,0.35549018323399595
H-CC9D12,source_only,0.5033503154767724,0.341009934343424,0.5248353536290957,0.34905201750121534,0.8348810678164473
H-CC9D12,target_native,0.6317898236117669,0.47197304315183297,0.21565446902411237,0.34905201750121534,0.35475456830027635
H-A3447B,source_only,0.5096953090031768,0.3407144487455622,0.528461117628488,0.3452558370591157,0.842396501851837
H-A3447B,target_native,0.6368587679173809,0.4742540066681363,0.2137142273835918,0.3452558370591157,0.3522998039819841
H-EDCE44,source_only,0.5085736498988681,0.3410342098857807,0.5220321182280383,0.34650602409638553,0.8314009419257548
H-EDCE44,target_native,0.6343393191953753,0.4712286495404766,0.2146346398977805,0.34650602409638553,0.35534181331669246
H-22612E,source_only,0.5038177453749243,0.3416770135974839,0.5178879906127553,0.3493683187560739,0.8226006058872615
H-22612E,target_native,0.6327454632138863,0.4745662669514168,0.21563585182329734,0.3493683187560739,0.35551272624405605
H-C3333A,source_only,0.4991592230912822,0.3299760301780188,0.5162085146426248,0.3428128231644261,0.8114755185352868
H-C3333A,target_native,0.6354540847992044,0.47161272951128386,0.21348568318030053,0.3428128231644261,0.3550468745171838
H-EFEC80,source_only,0.5031685497943166,0.3231559639599747,0.513960348273315,0.3272405660377358,0.7880017650968292
H-EFEC80,target_native,0.631184909712517,0.45247118642468404,0.20999251743201539,0.3272405660377358,0.34827983721440187
H-F8EC44,source_only,0.504998517195972,0.3416512531950207,0.5194459124403048,0.34851390220517736,0.8241802926544911
H-F8EC44,target_native,0.6312979950262806,0.4718695118376388,0.21566954439452202,0.34851390220517736,0.355529038123967
H-28C866,source_only,0.5012448669447408,0.3421860334624345,0.5222186813358736,0.3512476007677543,0.829571404395892
H-28C866,target_native,0.6335049067158147,0.4758613731708457,0.21604168177729896,0.3512476007677543,0.3554165194544257
H-FA4D00,source_only,0.5183932386637173,0.3490320219807116,0.4917505981340346,0.34686567164179105,0.7837802089186766
H-FA4D00,target_native,0.6332318042082143,0.47009295941088186,0.21509368159874795,0.34686567164179105,0.35612761401505183
H-B1EA29,source_only,0.5045066337968613,0.34150848269547474,0.520049143322456,0.34888148500713945,0.8258430638002103
H-B1EA29,target_native,0.6330259767198807,0.47299374699821894,0.215495480826786,0.34888148500713945,0.3554648621261021
H-21ADFB,source_only,0.5066706050815774,0.341029159285474,0.5200279327265711,0.3469682386910491,0.8231959747711528
H-21ADFB,target_native,0.6337999809893121,0.4706746900776664,0.214902779271915,0.3469682386910491,0.35542078856852916
H-B28848,source_only,0.504288219289324,0.34154563914378316,0.5196674010472715,0.3490252020922492,0.8252479947803549
H-B28848,target_native,0.6328591644888868,0.47352993511489566,0.21550653430494804,0.3490252020922492,0.3553892328957522
H-36554F,source_only,0.504936524662552,0.3413280339563348,0.5209550915623447,0.34844868735083534,0.8271501638532801
H-36554F,target_native,0.6323869737568367,0.47125410872784834,0.2155120620270745,0.34844868735083534,0.3553399426733092
H-DA045B,source_only,0.5038123237248434,0.3415144923068061,0.520170028553136,0.3491912464319695,0.8258819271607172
H-DA045B,target_native,0.6319484280638017,0.4725833083025296,0.2157531010865222,0.3491912464319695,0.35568613530733895
H-E235B1,source_only,0.5052923429047025,0.34278923963023733,0.5189996271431655,0.35036496350364965,0.8295506107527268
H-E235B1,target_native,0.6336860174781523,0.4744684072386201,0.21570483572637927,0.35036496350364965,0.35800997584944105
H-652EB3,source_only,0.5029180874246891,0.34206216477944384,0.5209292917666591,0.3502415458937198,0.8276257265510619
H-652EB3,target_native,0.6323394436610691,0.47394662907947166,0.21595617821260218,0.3502415458937198,0.35703223105341764
H-E38358,source_only,0.505195328755722,0.34690892676131635,0.5197594316731056,0.3545816733067729,0.8343288466781605
H-E38358,target_native,0.6301996636149259,0.47609770502469556,0.21759290185728059,0.3545816733067729,0.35838107098904554
H-8BC84B,source_only,0.49919834507965777,0.3462554834128604,0.5205019614317313,0.3566502463054187,0.8308497795048451
H-8BC84B,target_native,0.6269724095335596,0.47704437688956425,0.2184718285543888,0.3566502463054187,0.35771062553320715
H-58967A,source_only,0.49571817162853005,0.35344967052697135,0.520857084477442,0.3660668380462725,0.8412857719167716
H-58967A,target_native,0.6217786617093597,0.48270437006189115,0.22172611289948377,0.3660668380462725,0.3641865278333173
