hospital_label,n,events,non_events,event_rate,source_mean_risk,target_mean_risk,source_brier,target_brier,source_observed_minus_predicted,target_observed_minus_predicted,source_excess_squared_error_sum,auroc_reporting_eligible,source_auroc,target_auroc
H-FA4D00,429,153,276,0.35664335664335667,0.9870028432582162,0.35307344475250474,0.6287999731614281,0.21745168306960702,-0.6303594866148595,0.003569911890851929,176.4684164493913,True,0.4390215023207351,0.6289428815004263
H-EFEC80,408,179,229,0.4387254901960784,0.9799144021870977,0.3855383758784579,0.5435311021794565,0.23877789007369152,-0.5411889119910193,0.05318711431762052,124.33931053915217,True,0.42638627991510336,0.616940303969164
H-C3333A,170,71,99,0.4176470588235294,0.9815436285253748,0.3607153291635467,0.5593539590701426,0.23933751437684095,-0.5638965697018454,0.05693172965998272,54.402795597861285,True,0.537345283824157,0.5951059894721867
H-58967A,159,22,137,0.13836477987421383,0.6286493290467768,0.24930480904549893,0.5054742833467682,0.1403232649387939,-0.49028454917256303,-0.11094002917128509,58.05901192686791,True,0.37591240875912413,0.5504313205043132
H-AB88F9,107,32,75,0.29906542056074764,0.9777012622809728,0.3644300577420517,0.6771495575802441,0.19797956777647296,-0.6786358417202252,-0.06536463718130409,51.271188909003484,True,0.4425,0.6383333333333332
H-E38358,96,22,74,0.22916666666666666,0.634622349654289,0.2953444867503437,0.5183385579287991,0.17335564359734143,-0.40545568298762236,-0.06617782008367704,33.11835977581994,True,0.3556511056511057,0.6320638820638821
H-A3447B,91,39,52,0.42857142857142855,0.44518584031659886,0.4264039105307957,0.32577154477597997,0.2567247141933399,-0.01661441174517031,0.0021675180406328654,6.283261583020244,True,0.47928994082840237,0.5009861932938856
H-9DC013,80,38,42,0.475,0.9720520195893197,0.3764387658562772,0.5275453490272014,0.230236181667184,-0.49705201958931977,0.09856123414372275,23.784733388801396,True,0.3533834586466166,0.693609022556391
H-8BC84B,74,10,64,0.13513513513513514,0.670689422996255,0.2949958302922412,0.4975467385722444,0.13609292904533676,-0.5355542878611199,-0.15986069515710605,26.747581904991165,True,0.534375,0.721875
H-B024AB,58,15,43,0.25862068965517243,0.3273746897908741,0.43819038124123383,0.1929472265886264,0.2609623308117859,-0.06875400013570165,-0.1795696915860614,-3.9448760449432463,True,0.5534883720930233,0.3147286821705426
H-E235B1,49,14,35,0.2857142857142857,0.643460502034784,0.25044410007010404,0.54884095064399,0.21010716932764817,-0.3577462163204983,0.03527018564418166,16.59795528450075,True,0.36938775510204086,0.5428571428571428
H-CC9D12,47,16,31,0.3404255319148936,0.40224921698141186,0.3883428570291058,0.29470463714278505,0.21207331770563914,-0.06182368506651825,-0.047917325114212206,3.8836720135458584,True,0.4536290322580645,0.6673387096774194
H-22612E,46,15,31,0.32608695652173914,0.9422613647950892,0.35515371008193736,0.6005207756458784,0.2128283839656145,-0.61617440827335,-0.029066753560198222,17.833850017292132,True,0.5376344086021505,0.6129032258064516
H-052624,35,16,19,0.45714285714285713,0.9717644517314767,0.44347305262304365,0.5162394481566958,0.22549513459520976,-0.5146215945886197,0.013669804519813478,10.17605097465201,True,0.368421052631579,0.6776315789473685
H-652EB3,34,9,25,0.2647058823529412,0.6785534039958829,0.26251597039593905,0.4445237177581279,0.19233528866699193,-0.41384752164294175,0.002189911957002133,8.574406589098622,False,,
H-4138CA,31,7,24,0.22580645161290322,0.3548178769130706,0.36235256966747437,0.20545531696388072,0.1755533244844185,-0.12901142530016738,-0.13654611805457115,0.9269617668633281,False,,
H-8A82A0,29,13,16,0.4482758620689655,0.9854319878509962,0.3958411742906161,0.5339228412540938,0.25572042514696786,-0.5371561257820306,0.05243468777834942,8.067870067106655,True,0.4375,0.5144230769230769
H-EDCE44,29,15,14,0.5172413793103449,0.38272811036610754,0.36717236696205535,0.35244120819246283,0.2828210664437808,0.13451326894423732,0.1500690123482895,2.018984110711782,True,0.34285714285714286,0.5142857142857142
H-21ADFB,26,13,13,0.5,0.986724389311639,0.362225485716646,0.4930536982671496,0.26925820722018484,-0.48672438931163897,0.13777451428335402,5.818682767221085,True,0.23668639053254442,0.5266272189349113
H-28C866,20,2,18,0.1,0.3714631467759623,0.3647117365506658,0.2566854228400036,0.16689119454366091,-0.2714631467759623,-0.2647117365506658,1.7958845659268545,False,,
H-F8EC44,18,7,11,0.3888888888888889,0.9453321788494333,0.3527048748578458,0.5485148339047091,0.204556617099516,-0.5564432899605445,0.0361840140310431,6.191247902493475,False,,
H-36554F,9,4,5,0.4444444444444444,0.37516404710405493,0.39389793038373455,0.22628039307206083,0.23010208533811788,0.06928039734038949,0.05054651406070987,-0.03439523039451359,False,,
H-F725EF,8,7,1,0.875,0.9950178970434891,0.3949062594687579,0.12440436598314655,0.324930125915723,-0.12001789704348909,0.4800937405312421,-1.604206079460611,False,,
H-0AC37C,7,2,5,0.2857142857142857,0.3413134090975358,0.4630495334444666,0.18447451861859068,0.23739515749277326,-0.055599123383250126,-0.1773352477301809,-0.37044447211927833,False,,
H-465A94,7,2,5,0.2857142857142857,0.45674659962419806,0.34622442901039624,0.3171531686108633,0.2668941378037557,-0.17103231390991236,-0.06051014329611054,0.3518132156497533,False,,
H-E7818E,7,3,4,0.42857142857142855,0.9869588804633226,0.3963429980722361,0.5617099335863134,0.1727191569755023,-0.5583874518918941,0.03222843049919244,2.7229354362756775,False,,
H-75D65B,5,0,5,0.0,0.6643021888783102,0.36167333317578026,0.6016739373233339,0.1407812071852159,-0.6643021888783102,-0.36167333317578026,2.30446365069059,False,,
H-84F1B9,4,0,4,0.0,0.37068556258567825,0.40548268488210865,0.13840038574455737,0.1661750153994841,-0.37068556258567825,-0.40548268488210865,-0.11109851861970699,False,,
H-8D8539,4,1,3,0.25,0.9903037371974027,0.43211933834966426,0.7360577268300217,0.199760426384252,-0.7403037371974027,-0.18211933834966426,2.145189201783079,False,,
H-BD0575,4,2,2,0.5,0.4557192385264205,0.41895861529489953,0.26015130133558517,0.2726865363712831,0.04428076147357951,0.08104138470510047,-0.05014094014279172,False,,
H-06A009,3,3,0,1.0,0.580416203768803,0.45961831987416396,0.2638387502064348,0.2929402141464808,0.419583796231197,0.5403816801258361,-0.08730439182013783,False,,
