variant,partition,old_outcome,status,new_code,n
freshness_180,adaptation_development,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,84
freshness_180,adaptation_development,death_first,indeterminate_freshness_expired_state_at_origin,-1,17
freshness_180,adaptation_development,death_first,indeterminate_freshness_six_hour_exposure_not_supported,-1,39
freshness_180,adaptation_development,death_first,indeterminate_observation,-1,7
freshness_180,adaptation_development,death_first,invalid_freshness_nonzero_at_origin,-1,2
freshness_180,adaptation_development,death_first,invalid_origin_outside_unit,-1,6
freshness_180,adaptation_development,death_first,recorded_death_proxy_first,2,55
freshness_180,adaptation_development,death_first,recorded_restart_first,1,8
freshness_180,adaptation_development,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,123
freshness_180,adaptation_development,durable_liberation_alive,indeterminate_freshness_expired_state_at_origin,-1,421
freshness_180,adaptation_development,durable_liberation_alive,indeterminate_freshness_six_hour_exposure_not_supported,-1,1202
freshness_180,adaptation_development,durable_liberation_alive,indeterminate_missing_hospital_status,-1,16
freshness_180,adaptation_development,durable_liberation_alive,indeterminate_observation,-1,386
freshness_180,adaptation_development,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
freshness_180,adaptation_development,durable_liberation_alive,invalid_freshness_nonzero_at_origin,-1,3
freshness_180,adaptation_development,durable_liberation_alive,invalid_origin_outside_unit,-1,24
freshness_180,adaptation_development,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,884
freshness_180,adaptation_development,durable_liberation_alive,recorded_restart_first,1,185
freshness_180,adaptation_development,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,71
freshness_180,adaptation_development,restart_first,indeterminate_freshness_expired_state_at_origin,-1,143
freshness_180,adaptation_development,restart_first,indeterminate_freshness_six_hour_exposure_not_supported,-1,210
freshness_180,adaptation_development,restart_first,indeterminate_missing_hospital_status,-1,4
freshness_180,adaptation_development,restart_first,indeterminate_observation,-1,1
freshness_180,adaptation_development,restart_first,invalid_death_proxy_before_origin,-1,1
freshness_180,adaptation_development,restart_first,invalid_or_indeterminate_restart_source,-1,1
freshness_180,adaptation_development,restart_first,invalid_origin_outside_unit,-1,8
freshness_180,adaptation_development,restart_first,recorded_restart_first,1,530
freshness_180,locked_evaluation,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,24
freshness_180,locked_evaluation,death_first,indeterminate_freshness_expired_state_at_origin,-1,16
freshness_180,locked_evaluation,death_first,indeterminate_freshness_six_hour_exposure_not_supported,-1,15
freshness_180,locked_evaluation,death_first,indeterminate_observation,-1,5
freshness_180,locked_evaluation,death_first,invalid_origin_outside_unit,-1,4
freshness_180,locked_evaluation,death_first,recorded_death_proxy_first,2,37
freshness_180,locked_evaluation,death_first,recorded_restart_first,1,5
freshness_180,locked_evaluation,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,56
freshness_180,locked_evaluation,durable_liberation_alive,indeterminate_freshness_expired_state_at_origin,-1,245
freshness_180,locked_evaluation,durable_liberation_alive,indeterminate_freshness_no_states,-1,1
freshness_180,locked_evaluation,durable_liberation_alive,indeterminate_freshness_six_hour_exposure_not_supported,-1,581
freshness_180,locked_evaluation,durable_liberation_alive,indeterminate_missing_hospital_status,-1,20
freshness_180,locked_evaluation,durable_liberation_alive,indeterminate_observation,-1,203
freshness_180,locked_evaluation,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
freshness_180,locked_evaluation,durable_liberation_alive,invalid_freshness_nonzero_at_origin,-1,5
freshness_180,locked_evaluation,durable_liberation_alive,invalid_origin_outside_unit,-1,13
freshness_180,locked_evaluation,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,720
freshness_180,locked_evaluation,durable_liberation_alive,recorded_restart_first,1,95
freshness_180,locked_evaluation,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,20
freshness_180,locked_evaluation,restart_first,indeterminate_freshness_expired_state_at_origin,-1,85
freshness_180,locked_evaluation,restart_first,indeterminate_freshness_six_hour_exposure_not_supported,-1,82
freshness_180,locked_evaluation,restart_first,indeterminate_missing_hospital_status,-1,5
freshness_180,locked_evaluation,restart_first,invalid_origin_outside_unit,-1,3
freshness_180,locked_evaluation,restart_first,recorded_restart_first,1,379
freshness_180,recalibration,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,13
freshness_180,recalibration,death_first,indeterminate_freshness_expired_state_at_origin,-1,9
freshness_180,recalibration,death_first,indeterminate_freshness_six_hour_exposure_not_supported,-1,28
freshness_180,recalibration,death_first,indeterminate_observation,-1,3
freshness_180,recalibration,death_first,invalid_origin_outside_unit,-1,1
freshness_180,recalibration,death_first,recorded_death_proxy_first,2,16
freshness_180,recalibration,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,32
freshness_180,recalibration,durable_liberation_alive,indeterminate_freshness_expired_state_at_origin,-1,102
freshness_180,recalibration,durable_liberation_alive,indeterminate_freshness_six_hour_exposure_not_supported,-1,672
freshness_180,recalibration,durable_liberation_alive,indeterminate_missing_hospital_status,-1,23
freshness_180,recalibration,durable_liberation_alive,indeterminate_observation,-1,97
freshness_180,recalibration,durable_liberation_alive,invalid_alive_discharge_before_origin,-1,1
freshness_180,recalibration,durable_liberation_alive,invalid_death_proxy_before_origin,-1,1
freshness_180,recalibration,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
freshness_180,recalibration,durable_liberation_alive,invalid_freshness_nonzero_at_origin,-1,2
freshness_180,recalibration,durable_liberation_alive,invalid_origin_outside_unit,-1,14
freshness_180,recalibration,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,319
freshness_180,recalibration,durable_liberation_alive,recorded_restart_first,1,36
freshness_180,recalibration,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,7
freshness_180,recalibration,restart_first,indeterminate_freshness_expired_state_at_origin,-1,42
freshness_180,recalibration,restart_first,indeterminate_freshness_six_hour_exposure_not_supported,-1,143
freshness_180,recalibration,restart_first,indeterminate_missing_hospital_status,-1,6
freshness_180,recalibration,restart_first,invalid_origin_outside_unit,-1,2
freshness_180,recalibration,restart_first,recorded_restart_first,1,182
gap_60,adaptation_development,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,84
gap_60,adaptation_development,death_first,indeterminate_minimum_stop_interval,-1,28
gap_60,adaptation_development,death_first,indeterminate_observation,-1,10
gap_60,adaptation_development,death_first,invalid_minimum_stop_interval,-1,11
gap_60,adaptation_development,death_first,invalid_origin_outside_unit,-1,6
gap_60,adaptation_development,death_first,recorded_death_proxy_first,2,75
gap_60,adaptation_development,death_first,recorded_restart_first,1,4
gap_60,adaptation_development,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,123
gap_60,adaptation_development,durable_liberation_alive,indeterminate_minimum_stop_interval,-1,4
gap_60,adaptation_development,durable_liberation_alive,indeterminate_missing_hospital_status,-1,16
gap_60,adaptation_development,durable_liberation_alive,indeterminate_observation,-1,778
gap_60,adaptation_development,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
gap_60,adaptation_development,durable_liberation_alive,invalid_minimum_stop_interval,-1,124
gap_60,adaptation_development,durable_liberation_alive,invalid_origin_outside_unit,-1,24
gap_60,adaptation_development,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,1950
gap_60,adaptation_development,durable_liberation_alive,recorded_restart_first,1,225
gap_60,adaptation_development,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,71
gap_60,adaptation_development,restart_first,indeterminate_missing_hospital_status,-1,4
gap_60,adaptation_development,restart_first,indeterminate_observation,-1,1
gap_60,adaptation_development,restart_first,invalid_death_proxy_before_origin,-1,1
gap_60,adaptation_development,restart_first,invalid_minimum_stop_interval,-1,288
gap_60,adaptation_development,restart_first,invalid_or_indeterminate_restart_source,-1,2
gap_60,adaptation_development,restart_first,invalid_origin_outside_unit,-1,8
gap_60,adaptation_development,restart_first,recorded_restart_first,1,594
gap_60,locked_evaluation,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,24
gap_60,locked_evaluation,death_first,indeterminate_minimum_stop_interval,-1,13
gap_60,locked_evaluation,death_first,indeterminate_observation,-1,8
gap_60,locked_evaluation,death_first,invalid_minimum_stop_interval,-1,7
gap_60,locked_evaluation,death_first,invalid_origin_outside_unit,-1,4
gap_60,locked_evaluation,death_first,recorded_death_proxy_first,2,43
gap_60,locked_evaluation,death_first,recorded_restart_first,1,7
gap_60,locked_evaluation,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,56
gap_60,locked_evaluation,durable_liberation_alive,indeterminate_minimum_stop_interval,-1,7
gap_60,locked_evaluation,durable_liberation_alive,indeterminate_missing_hospital_status,-1,20
gap_60,locked_evaluation,durable_liberation_alive,indeterminate_observation,-1,354
gap_60,locked_evaluation,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
gap_60,locked_evaluation,durable_liberation_alive,invalid_minimum_stop_interval,-1,70
gap_60,locked_evaluation,durable_liberation_alive,invalid_or_indeterminate_restart_source,-1,1
gap_60,locked_evaluation,durable_liberation_alive,invalid_origin_outside_unit,-1,13
gap_60,locked_evaluation,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,1314
gap_60,locked_evaluation,durable_liberation_alive,recorded_restart_first,1,104
gap_60,locked_evaluation,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,20
gap_60,locked_evaluation,restart_first,indeterminate_missing_hospital_status,-1,5
gap_60,locked_evaluation,restart_first,invalid_minimum_stop_interval,-1,175
gap_60,locked_evaluation,restart_first,invalid_origin_outside_unit,-1,3
gap_60,locked_evaluation,restart_first,recorded_restart_first,1,371
gap_60,recalibration,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,13
gap_60,recalibration,death_first,indeterminate_minimum_stop_interval,-1,10
gap_60,recalibration,death_first,indeterminate_observation,-1,4
gap_60,recalibration,death_first,invalid_minimum_stop_interval,-1,3
gap_60,recalibration,death_first,invalid_origin_outside_unit,-1,1
gap_60,recalibration,death_first,recorded_death_proxy_first,2,37
gap_60,recalibration,death_first,recorded_restart_first,1,2
gap_60,recalibration,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,32
gap_60,recalibration,durable_liberation_alive,indeterminate_minimum_stop_interval,-1,3
gap_60,recalibration,durable_liberation_alive,indeterminate_missing_hospital_status,-1,23
gap_60,recalibration,durable_liberation_alive,indeterminate_observation,-1,264
gap_60,recalibration,durable_liberation_alive,invalid_alive_discharge_before_origin,-1,1
gap_60,recalibration,durable_liberation_alive,invalid_death_proxy_before_origin,-1,1
gap_60,recalibration,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
gap_60,recalibration,durable_liberation_alive,invalid_minimum_stop_interval,-1,21
gap_60,recalibration,durable_liberation_alive,invalid_origin_outside_unit,-1,14
gap_60,recalibration,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,854
gap_60,recalibration,durable_liberation_alive,recorded_restart_first,1,86
gap_60,recalibration,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,7
gap_60,recalibration,restart_first,indeterminate_missing_hospital_status,-1,6
gap_60,recalibration,restart_first,indeterminate_observation,-1,2
gap_60,recalibration,restart_first,invalid_minimum_stop_interval,-1,89
gap_60,recalibration,restart_first,invalid_origin_outside_unit,-1,2
gap_60,recalibration,restart_first,recorded_restart_first,1,276
primary_traceable,adaptation_development,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,84
primary_traceable,adaptation_development,death_first,indeterminate_observation,-1,12
primary_traceable,adaptation_development,death_first,invalid_origin_outside_unit,-1,6
primary_traceable,adaptation_development,death_first,recorded_death_proxy_first,2,101
primary_traceable,adaptation_development,death_first,recorded_restart_first,1,15
primary_traceable,adaptation_development,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,123
primary_traceable,adaptation_development,durable_liberation_alive,indeterminate_missing_hospital_status,-1,16
primary_traceable,adaptation_development,durable_liberation_alive,indeterminate_observation,-1,782
primary_traceable,adaptation_development,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
primary_traceable,adaptation_development,durable_liberation_alive,invalid_origin_outside_unit,-1,24
primary_traceable,adaptation_development,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,1950
primary_traceable,adaptation_development,durable_liberation_alive,recorded_restart_first,1,349
primary_traceable,adaptation_development,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,71
primary_traceable,adaptation_development,restart_first,indeterminate_missing_hospital_status,-1,4
primary_traceable,adaptation_development,restart_first,indeterminate_observation,-1,1
primary_traceable,adaptation_development,restart_first,invalid_death_proxy_before_origin,-1,1
primary_traceable,adaptation_development,restart_first,invalid_or_indeterminate_restart_source,-1,2
primary_traceable,adaptation_development,restart_first,invalid_origin_outside_unit,-1,8
primary_traceable,adaptation_development,restart_first,recorded_restart_first,1,882
primary_traceable,locked_evaluation,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,24
primary_traceable,locked_evaluation,death_first,indeterminate_observation,-1,8
primary_traceable,locked_evaluation,death_first,invalid_origin_outside_unit,-1,4
primary_traceable,locked_evaluation,death_first,recorded_death_proxy_first,2,56
primary_traceable,locked_evaluation,death_first,recorded_restart_first,1,14
primary_traceable,locked_evaluation,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,56
primary_traceable,locked_evaluation,durable_liberation_alive,indeterminate_missing_hospital_status,-1,20
primary_traceable,locked_evaluation,durable_liberation_alive,indeterminate_observation,-1,361
primary_traceable,locked_evaluation,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
primary_traceable,locked_evaluation,durable_liberation_alive,invalid_or_indeterminate_restart_source,-1,1
primary_traceable,locked_evaluation,durable_liberation_alive,invalid_origin_outside_unit,-1,13
primary_traceable,locked_evaluation,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,1314
primary_traceable,locked_evaluation,durable_liberation_alive,recorded_restart_first,1,174
primary_traceable,locked_evaluation,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,20
primary_traceable,locked_evaluation,restart_first,indeterminate_missing_hospital_status,-1,5
primary_traceable,locked_evaluation,restart_first,invalid_origin_outside_unit,-1,3
primary_traceable,locked_evaluation,restart_first,recorded_restart_first,1,546
primary_traceable,recalibration,death_first,indeterminate_death_or_discharge_proxy_conflict,-1,13
primary_traceable,recalibration,death_first,indeterminate_observation,-1,4
primary_traceable,recalibration,death_first,invalid_origin_outside_unit,-1,1
primary_traceable,recalibration,death_first,recorded_death_proxy_first,2,47
primary_traceable,recalibration,death_first,recorded_restart_first,1,5
primary_traceable,recalibration,durable_liberation_alive,indeterminate_death_or_discharge_proxy_conflict,-1,32
primary_traceable,recalibration,durable_liberation_alive,indeterminate_missing_hospital_status,-1,23
primary_traceable,recalibration,durable_liberation_alive,indeterminate_observation,-1,267
primary_traceable,recalibration,durable_liberation_alive,invalid_alive_discharge_before_origin,-1,1
primary_traceable,recalibration,durable_liberation_alive,invalid_death_proxy_before_origin,-1,1
primary_traceable,recalibration,durable_liberation_alive,invalid_death_proxy_equal_origin,-1,3
primary_traceable,recalibration,durable_liberation_alive,invalid_origin_outside_unit,-1,14
primary_traceable,recalibration,durable_liberation_alive,no_recorded_restart_or_death_proxy_under_observation,0,854
primary_traceable,recalibration,durable_liberation_alive,recorded_restart_first,1,107
primary_traceable,recalibration,restart_first,indeterminate_death_or_discharge_proxy_conflict,-1,7
primary_traceable,recalibration,restart_first,indeterminate_missing_hospital_status,-1,6
primary_traceable,recalibration,restart_first,indeterminate_observation,-1,2
primary_traceable,recalibration,restart_first,invalid_origin_outside_unit,-1,2
primary_traceable,recalibration,restart_first,recorded_restart_first,1,365
