analysis,model,outcome,training_n,training_subjects,test_n,test_subjects,test_events,prevalence,auroc,auprc,brier,calibration_intercept,calibration_slope,multiclass_log_loss,multiclass_brier
scope_corrected_primary,clinical_multinomial_logistic,durable_liberation_alive,8590,7795,689,652,231,0.3352685050798258,0.6676307680674493,0.4583889390777861,0.21441021197164636,-0.538586893848464,0.9191215906782155,0.7564641027484417,0.49148418945385314
scope_corrected_primary,clinical_multinomial_logistic,restart_first,8590,7795,689,652,320,0.4644412191582003,0.6582401761517614,0.557523651345377,0.22894838202731846,0.46679290214776725,0.982948537557925,0.7564641027484417,0.49148418945385314
scope_corrected_primary,clinical_multinomial_logistic,death_first,8590,7795,689,652,138,0.20029027576197386,0.9495383887003866,0.903582164206568,0.048125595454888384,0.34983512385101884,1.090901886135652,0.7564641027484417,0.49148418945385314
scope_corrected_primary,dynamic_multiclass_hgb,durable_liberation_alive,8590,7795,689,652,231,0.3352685050798258,0.6646533960944442,0.43861545608309777,0.218725582595603,-0.5269219420676386,0.6925878877271626,0.725209258894877,0.4842870461833068
scope_corrected_primary,dynamic_multiclass_hgb,restart_first,8590,7795,689,652,320,0.4644412191582003,0.6706978319783198,0.5822457823183352,0.228421072877169,0.40819016701926714,0.8307799360117621,0.725209258894877,0.4842870461833068
scope_corrected_primary,dynamic_multiclass_hgb,death_first,8590,7795,689,652,138,0.20029027576197386,0.9716720587074883,0.9342994224461495,0.03714039071053482,0.3373352383539921,1.0641958927874884,0.725209258894877,0.4842870461833068
scope_corrected_primary,dynamic_multinomial_logistic,durable_liberation_alive,8590,7795,689,652,231,0.3352685050798258,0.6998714531465624,0.4851062559052668,0.2113677281792322,-0.5238814631885329,0.7891965184362926,0.72864623663633,0.4750782700878129
scope_corrected_primary,dynamic_multinomial_logistic,restart_first,8590,7795,689,652,320,0.4644412191582003,0.6950118563685637,0.6126702517635736,0.22281409156684964,0.4601500101416389,0.9290673724573245,0.72864623663633,0.4750782700878129
scope_corrected_primary,dynamic_multinomial_logistic,death_first,8590,7795,689,652,138,0.20029027576197386,0.9612430626791867,0.9216044515102659,0.04089645034173113,0.21124580175737573,1.0313118700189297,0.72864623663633,0.4750782700878129
scope_corrected_primary,laboratory_extended_multiclass_hgb,durable_liberation_alive,8590,7795,689,652,231,0.3352685050798258,0.6746913930320043,0.46528315945353527,0.21544340705992793,-0.5430179337758081,0.7591192902516672,0.7104278463025914,0.4785717582662793
scope_corrected_primary,laboratory_extended_multiclass_hgb,restart_first,8590,7795,689,652,320,0.4644412191582003,0.6798102981029811,0.5938507270623476,0.225992499134666,0.463801106845241,0.8911789330540065,0.7104278463025914,0.4785717582662793
scope_corrected_primary,laboratory_extended_multiclass_hgb,death_first,8590,7795,689,652,138,0.20029027576197386,0.9782740208842946,0.9458109526912482,0.03713585207168537,0.280072375100164,1.0530522057866205,0.7104278463025914,0.4785717582662793
