analysis,model,outcome,training_n,training_subjects,test_n,test_subjects,test_events,prevalence,auroc,auprc,brier,calibration_intercept,calibration_slope,multiclass_log_loss,multiclass_brier
scope_corrected_strict,clinical_multinomial_logistic,durable_liberation_alive,8522,7734,680,644,231,0.3397058823529412,0.6616241961453544,0.4591528638606192,0.21673167993186443,-0.5400322331466046,0.9354245095743456,0.7581954509710711,0.494315838228827
scope_corrected_strict,clinical_multinomial_logistic,restart_first,8522,7734,680,644,320,0.47058823529411764,0.6505989583333334,0.5584393533416987,0.23119178366353954,0.4634734542935854,0.9753915879491829,0.7581954509710711,0.494315838228827
scope_corrected_strict,clinical_multinomial_logistic,death_first,8522,7734,680,644,129,0.18970588235294117,0.9499008145865867,0.9012597489768399,0.0463923746334231,0.38411534445962653,1.1019524000329324,0.7581954509710711,0.494315838228827
scope_corrected_strict,dynamic_multiclass_hgb,durable_liberation_alive,8522,7734,680,644,231,0.3397058823529412,0.6677368659551287,0.45789752516780596,0.22017600069322302,-0.5323507814545076,0.696367050991326,0.7347267350682358,0.488374274950691
scope_corrected_strict,dynamic_multiclass_hgb,restart_first,8522,7734,680,644,320,0.47058823529411764,0.6740451388888891,0.5961058800908275,0.22993043005882574,0.406981982213714,0.7892571537101011,0.7347267350682358,0.488374274950691
scope_corrected_strict,dynamic_multiclass_hgb,death_first,8522,7734,680,644,129,0.18970588235294117,0.9689359726501499,0.9234778584503452,0.0382678441986422,0.21509578223823456,0.9850098141686,0.7347267350682358,0.488374274950691
scope_corrected_strict,dynamic_multinomial_logistic,durable_liberation_alive,8522,7734,680,644,231,0.3397058823529412,0.6940965493304023,0.48381503545510507,0.2141216159943382,-0.5260709096601828,0.7930004461624149,0.7343513727216905,0.47959472217040616
scope_corrected_strict,dynamic_multinomial_logistic,restart_first,8522,7734,680,644,320,0.47058823529411764,0.6884722222222222,0.6143521800858631,0.22523365790321354,0.4556189829221141,0.9133283440062125,0.7343513727216905,0.47959472217040616
scope_corrected_strict,dynamic_multinomial_logistic,death_first,8522,7734,680,644,129,0.18970588235294117,0.9594676346037507,0.9157635270761909,0.04023944827285443,0.21634897349473214,1.0221281332368206,0.7343513727216905,0.47959472217040616
scope_corrected_strict,laboratory_extended_multiclass_hgb,durable_liberation_alive,8522,7734,680,644,231,0.3397058823529412,0.6669462682825712,0.46159734602619235,0.2188662591044627,-0.5423866847521925,0.7463756029108511,0.7234425871983429,0.48573013054288516
scope_corrected_strict,laboratory_extended_multiclass_hgb,restart_first,8522,7734,680,644,320,0.47058823529411764,0.6686197916666666,0.5959445470554847,0.229412275210125,0.4526428205487581,0.8425474127247415,0.7234425871983429,0.48573013054288516
scope_corrected_strict,laboratory_extended_multiclass_hgb,death_first,8522,7734,680,644,129,0.18970588235294117,0.9745213072778176,0.9340899222568728,0.037451596228297475,0.18274667054762336,0.9999359550202155,0.7234425871983429,0.48573013054288516
