analysis,model,outcome,metric,estimate,ci_low,ci_high
scope_corrected_strict,clinical_multinomial_logistic,durable_liberation_alive,auroc,0.6616241961453544,0.623438349501265,0.7020884648798641
scope_corrected_strict,clinical_multinomial_logistic,durable_liberation_alive,auprc,0.4591528638606192,0.40025887395619975,0.5249626470730895
scope_corrected_strict,clinical_multinomial_logistic,durable_liberation_alive,brier,0.21673167993186443,0.20780553439887373,0.22561207515352258
scope_corrected_strict,clinical_multinomial_logistic,restart_first,auroc,0.6505989583333334,0.6090144787690883,0.6908676123866567
scope_corrected_strict,clinical_multinomial_logistic,restart_first,auprc,0.5584393533416987,0.5016674053839656,0.6208005524890894
scope_corrected_strict,clinical_multinomial_logistic,restart_first,brier,0.23119178366353954,0.2215466957670888,0.24094466466001865
scope_corrected_strict,clinical_multinomial_logistic,death_first,auroc,0.9499008145865867,0.9211015256463906,0.9724007894523091
scope_corrected_strict,clinical_multinomial_logistic,death_first,auprc,0.9012597489768399,0.8557033606664314,0.9386857791590173
scope_corrected_strict,clinical_multinomial_logistic,death_first,brier,0.0463923746334231,0.0338748030107678,0.059329947118299066
scope_corrected_strict,dynamic_multiclass_hgb,durable_liberation_alive,auroc,0.6677368659551287,0.6277295609926951,0.7074165327968677
scope_corrected_strict,dynamic_multiclass_hgb,durable_liberation_alive,auprc,0.45789752516780596,0.3992017935705333,0.5265520920613792
scope_corrected_strict,dynamic_multiclass_hgb,durable_liberation_alive,brier,0.22017600069322302,0.20771667413790726,0.23233345346336093
scope_corrected_strict,dynamic_multiclass_hgb,restart_first,auroc,0.6740451388888891,0.6319256377876349,0.7135555910662272
scope_corrected_strict,dynamic_multiclass_hgb,restart_first,auprc,0.5961058800908275,0.538462988681967,0.6598818118350945
scope_corrected_strict,dynamic_multiclass_hgb,restart_first,brier,0.22993043005882574,0.2174706784996646,0.2426193749379355
scope_corrected_strict,dynamic_multiclass_hgb,death_first,auroc,0.9689359726501499,0.9518333353409769,0.9838034068132463
scope_corrected_strict,dynamic_multiclass_hgb,death_first,auprc,0.9234778584503452,0.8818830846422407,0.9571031355784154
scope_corrected_strict,dynamic_multiclass_hgb,death_first,brier,0.0382678441986422,0.02700230284640533,0.05087236290205522
scope_corrected_strict,dynamic_multinomial_logistic,durable_liberation_alive,auroc,0.6940965493304023,0.6552145022512255,0.7323450626600406
scope_corrected_strict,dynamic_multinomial_logistic,durable_liberation_alive,auprc,0.48381503545510507,0.42421171450680056,0.5506207892849805
scope_corrected_strict,dynamic_multinomial_logistic,durable_liberation_alive,brier,0.2141216159943382,0.20340379040751647,0.22456225302219732
scope_corrected_strict,dynamic_multinomial_logistic,restart_first,auroc,0.6884722222222222,0.6476742843468324,0.7262718563430219
scope_corrected_strict,dynamic_multinomial_logistic,restart_first,auprc,0.6143521800858631,0.5560703677076726,0.676259423448263
scope_corrected_strict,dynamic_multinomial_logistic,restart_first,brier,0.22523365790321354,0.21468168855158226,0.23564635577000026
scope_corrected_strict,dynamic_multinomial_logistic,death_first,auroc,0.9594676346037507,0.9375521212857258,0.9781701051075294
scope_corrected_strict,dynamic_multinomial_logistic,death_first,auprc,0.9157635270761909,0.8739922886219554,0.9495746271851352
scope_corrected_strict,dynamic_multinomial_logistic,death_first,brier,0.04023944827285443,0.028954319616657957,0.052619509275969104
scope_corrected_strict,laboratory_extended_multiclass_hgb,durable_liberation_alive,auroc,0.6669462682825712,0.6284937951697072,0.7060431742779667
scope_corrected_strict,laboratory_extended_multiclass_hgb,durable_liberation_alive,auprc,0.46159734602619235,0.4026962761073506,0.5276804084461988
scope_corrected_strict,laboratory_extended_multiclass_hgb,durable_liberation_alive,brier,0.2188662591044627,0.20714047381254114,0.2304914599613116
scope_corrected_strict,laboratory_extended_multiclass_hgb,restart_first,auroc,0.6686197916666666,0.6280343189319704,0.7080312543222379
scope_corrected_strict,laboratory_extended_multiclass_hgb,restart_first,auprc,0.5959445470554847,0.5401911405915842,0.6582771661997626
scope_corrected_strict,laboratory_extended_multiclass_hgb,restart_first,brier,0.229412275210125,0.21720064010442272,0.24161906665329672
scope_corrected_strict,laboratory_extended_multiclass_hgb,death_first,auroc,0.9745213072778176,0.9601384399233757,0.9868704968903064
scope_corrected_strict,laboratory_extended_multiclass_hgb,death_first,auprc,0.9340899222568728,0.899661909759045,0.9635006969728385
scope_corrected_strict,laboratory_extended_multiclass_hgb,death_first,brier,0.037451596228297475,0.026546189263004893,0.049595566337934355
