analysis,comparison,metric,estimate,ci_low,ci_high
scope_corrected_primary,dynamic_multinomial_logistic minus clinical_multinomial_logistic,auroc,0.036771680216802216,0.003256379909321086,0.07106084726179535
scope_corrected_primary,dynamic_multinomial_logistic minus clinical_multinomial_logistic,auprc,0.055146600418196634,0.012366104008445617,0.09956523788917483
scope_corrected_primary,dynamic_multinomial_logistic minus clinical_multinomial_logistic,brier_improvement,0.006134290460468816,0.0003315936560131308,0.012134071636650338
scope_corrected_primary,dynamic_multiclass_hgb minus dynamic_multinomial_logistic,auroc,-0.024314024390243882,-0.05442187670409102,0.005510331891617037
scope_corrected_primary,dynamic_multiclass_hgb minus dynamic_multinomial_logistic,auprc,-0.030424469445238356,-0.0709913947081442,0.01045436288038765
scope_corrected_primary,dynamic_multiclass_hgb minus dynamic_multinomial_logistic,brier_improvement,-0.005606981310319364,-0.012570221470085846,0.0012037581657636995
scope_corrected_primary,laboratory_extended_multiclass_hgb minus dynamic_multiclass_hgb,auroc,0.009112466124661323,-0.012288128032837306,0.03057773950499914
scope_corrected_primary,laboratory_extended_multiclass_hgb minus dynamic_multiclass_hgb,auprc,0.011604944744012413,-0.015422145183990326,0.037947832610757716
scope_corrected_primary,laboratory_extended_multiclass_hgb minus dynamic_multiclass_hgb,brier_improvement,0.0024285737425030207,-0.0024509671817416665,0.0076700606461803855
