analysis,model,outcome,training_n,training_subjects,test_n,test_subjects,test_events,prevalence,auroc,auprc,brier,calibration_intercept,calibration_slope,multiclass_log_loss,multiclass_brier
scope_corrected_primary,harmonized_dynamic_vitals,durable_liberation_alive,8590,7795,689,652,231,0.3352685050798258,0.6743983818219625,0.4672205486703905,0.21885066428012842,-0.5667072520551192,0.9628812725144044,0.8449389083016655,0.5303484008678269
scope_corrected_primary,harmonized_dynamic_vitals,restart_first,8590,7795,689,652,320,0.4644412191582003,0.6726541327913278,0.6078442400432313,0.23078754812304547,0.5201896642980622,1.2426132626111028,0.8449389083016655,0.5303484008678269
scope_corrected_primary,harmonized_dynamic_vitals,death_first,8590,7795,689,652,138,0.20029027576197386,0.903521923248902,0.7993523833641488,0.0807101884646529,0.5009058353524376,1.1027549429814945,0.8449389083016655,0.5303484008678269
scope_corrected_primary,harmonized_last_values,durable_liberation_alive,8590,7795,689,652,231,0.3352685050798258,0.6582638613206299,0.45916829286560074,0.22132267786661497,-0.5391427074316774,1.0061277098890309,0.8652615844748601,0.5444456958199342
scope_corrected_primary,harmonized_last_values,restart_first,8590,7795,689,652,320,0.4644412191582003,0.6356368563685637,0.5602079695317574,0.23543103914381802,0.5101439370926518,1.2589758622938856,0.8652615844748601,0.5444456958199342
scope_corrected_primary,harmonized_last_values,death_first,8590,7795,689,652,138,0.20029027576197386,0.8943949078092532,0.7704217794172761,0.08769197880950129,0.4356468905770326,1.08381618076672,0.8652615844748601,0.5444456958199342
